n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
54,8,0.776,NA,multisession
55,8,0.78,NA,multisession
56,8,0.85,NA,multisession
57,8,0.806,NA,multisession
58,8,0.815,NA,multisession
59,8,0.832,NA,multisession
60,8,0.841,NA,multisession
61,8,0.915,NA,multisession
62,8,0.938,NA,multisession
63,8,0.893,NA,multisession
64,8,0.934,NA,multisession
65,8,0.912,NA,multisession
66,8,0.955,NA,multisession
67,8,1.076,NA,multisession
68,8,1.035,NA,multisession
69,8,1.075,NA,multisession
70,8,1.036,NA,multisession
71,8,1.028,NA,multisession
72,8,1.012,NA,multisession
73,8,1.048,NA,multisession
74,8,1.049,NA,multisession
75,8,1.045,NA,multisession
76,8,1.084,NA,multisession
77,8,1.035,NA,multisession
78,8,1.057,NA,multisession
79,8,1.118,NA,multisession
80,8,1.082,NA,multisession
81,8,1.083,NA,multisession
82,8,1.192,NA,multisession
83,8,1.126,NA,multisession
84,8,1.152,NA,multisession
85,8,1.133,NA,multisession
86,8,1.177,NA,multisession
87,8,1.219,NA,multisession
88,8,1.157,NA,multisession
89,8,1.22,NA,multisession
90,8,1.267,NA,multisession
91,8,1.275,NA,multisession
92,8,1.181,NA,multisession
93,8,1.235,NA,multisession
94,8,1.27,NA,multisession
95,8,1.217,NA,multisession
96,8,1.232,NA,multisession
97,8,1.291,NA,multisession
98,8,1.267,NA,multisession
99,8,1.306,NA,multisession
100,8,1.301,NA,multisession
11,9,0.374,NA,multisession
